Quarter ID,Quarter,State ID,State,Crime Type ID,Crime Type,Modality ID,Modality,Value
20171,2017-Q1,1,Aguascalientes,101,Trust Abuse,2,Trust Abuse,113
20171,2017-Q1,1,Aguascalientes,102,Damage to Property,13,Damage to Property,498
20171,2017-Q1,1,Aguascalientes,103,Dispossession,15,Dispossession,29
20171,2017-Q1,1,Aguascalientes,104,Extortion,19,Extortion,25
20171,2017-Q1,1,Aguascalientes,105,Fraud,22,Fraud,196
20171,2017-Q1,1,Aguascalientes,106,Stole,10,Violently,195
20171,2017-Q1,1,Aguascalientes,106,Stole,37,"Theft of Cables, Pipes and other Objects Intended for Public Services Violently",0
20171,2017-Q1,1,Aguascalientes,106,Stole,38,"Theft of Cables, Pipes and other Objects Intended for Public Services without Violence",0
20171,2017-Q1,1,Aguascalientes,106,Stole,39,Carjacking 4 Wheel Violence,15
20171,2017-Q1,1,Aguascalientes,106,Stole,40,Carjacking 4 Wheel without Violence,634
20171,2017-Q1,1,Aguascalientes,106,Stole,41,Theft of Small and Large Vessels with Violence,0
20171,2017-Q1,1,Aguascalientes,106,Stole,42,Theft of Small and Large Vessels without Violence,0
20171,2017-Q1,1,Aguascalientes,106,Stole,43,Industrial Tool Theft or Agricultural Violently,0
20171,2017-Q1,1,Aguascalientes,106,Stole,44,Industrial Tool Theft or Agricultural without Violence,2
20171,2017-Q1,1,Aguascalientes,106,Stole,45,Motorcycle Theft Violence,7
20171,2017-Q1,1,Aguascalientes,106,Stole,46,No Motorcycle Theft Violence,162
20171,2017-Q1,1,Aguascalientes,106,Stole,47,Tractors Theft Violence,0
20171,2017-Q1,1,Aguascalientes,106,Stole,48,Theft of Tractors without Violence,0
20171,2017-Q1,1,Aguascalientes,106,Stole,53,Without Violence,2123
20171,2017-Q1,1,Aguascalientes,107,Other Crimes against Property,29,Other Crimes against Property,0
20171,2017-Q1,1,Aguascalientes,201,Failure to Comply with Obligations of Family Assistance,25,Failure to Comply with Obligations of Family Assistance,19
20171,2017-Q1,1,Aguascalientes,202,Gender-Based Violence in all its Different Modalities to Family Violence,58,Gender-Based Violence in all its Different Modalities to Family Violence,0
20171,2017-Q1,1,Aguascalientes,203,Domestic Violence,59,Domestic Violence,183
20171,2017-Q1,1,Aguascalientes,204,Other Offenses against the Family,30,Other Offenses against the Family,25
20171,2017-Q1,1,Aguascalientes,301,Sexual Abuse,3,Sexual Abuse,0
20171,2017-Q1,1,Aguascalientes,302,Sexual Harassment,4,Sexual Harassment,0
20171,2017-Q1,1,Aguascalientes,303,Sexual Harassment,23,Sexual Harassment,3
20171,2017-Q1,1,Aguascalientes,304,Incest,24,Incest,1
20171,2017-Q1,1,Aguascalientes,305,Equated Violation,56,Statutory Rape,9
20171,2017-Q1,1,Aguascalientes,306,Simple Violation,57,Simple Violation,27
20171,2017-Q1,1,Aguascalientes,307,Other Crimes against Sexual Freedom and Security,34,Other Crimes against Sexual Freedom and Security,60
20171,2017-Q1,1,Aguascalientes,401,Corruption of Minors,12,Corruption of Minors,14
20171,2017-Q1,1,Aguascalientes,402,Trafficking,54,Trafficking,0
20171,2017-Q1,1,Aguascalientes,403,Other Crimes against Society,31,Other Crimes against Society,16
20171,2017-Q1,1,Aguascalientes,501,Abortion,1,Abortion,0
20171,2017-Q1,1,Aguascalientes,502,Femicide,7,Knife,0
20171,2017-Q1,1,Aguascalientes,502,Femicide,8,Firearm,0
20171,2017-Q1,1,Aguascalientes,502,Femicide,9,Another Element,0
20171,2017-Q1,1,Aguascalientes,502,Femicide,27,Not Specified,0
20171,2017-Q1,1,Aguascalientes,503,Homicide,7,Knife,3
20171,2017-Q1,1,Aguascalientes,503,Homicide,8,Firearm,3
20171,2017-Q1,1,Aguascalientes,503,Homicide,9,Another Element,5
20171,2017-Q1,1,Aguascalientes,503,Homicide,17,In Traffic Accident,48
20171,2017-Q1,1,Aguascalientes,503,Homicide,27,Not Specified,0
20171,2017-Q1,1,Aguascalientes,504,Injury,7,Knife,42
20171,2017-Q1,1,Aguascalientes,504,Injury,8,Firearm,19
20171,2017-Q1,1,Aguascalientes,504,Injury,9,Another Element,486
20171,2017-Q1,1,Aguascalientes,504,Injury,17,In Traffic Accident,146
20171,2017-Q1,1,Aguascalientes,504,Injury,27,Not Specified,29
20171,2017-Q1,1,Aguascalientes,505,Other Crimes against Life and Bodily Integrity,35,Other Crimes against Life and Bodily Integrity,0
20171,2017-Q1,1,Aguascalientes,601,Rapture,36,Rapture,0
20171,2017-Q1,1,Aguascalientes,602,Kidnapping,28,Other Kidnappings,0
20171,2017-Q1,1,Aguascalientes,602,Kidnapping,49,Kidnapping as a Hostage,0
20171,2017-Q1,1,Aguascalientes,602,Kidnapping,50,Express Kidnapping,0
20171,2017-Q1,1,Aguascalientes,602,Kidnapping,51,Kidnapping for Ransom,1
20171,2017-Q1,1,Aguascalientes,602,Kidnapping,52,Kidnapping to Cause Harm,0
20171,2017-Q1,1,Aguascalientes,603,Child Trafficking,55,Child Trafficking,0
20171,2017-Q1,1,Aguascalientes,604,Other Crimes against Personal Freedom,33,Other Crimes against Personal Freedom,4
20171,2017-Q1,1,Aguascalientes,701,Breaking and Entering,5,Breaking and Entering,85
20171,2017-Q1,1,Aguascalientes,702,Threats,6,Threats,327
20171,2017-Q1,1,Aguascalientes,703,Against the Environment,11,Against the Environment,1
20171,2017-Q1,1,Aguascalientes,704,Crimes Committed by Public Servants,14,Crimes Committed by Public Servants,6
20171,2017-Q1,1,Aguascalientes,705,Electoral,16,Election,0
20171,2017-Q1,1,Aguascalientes,706,Letting Prisoners Escape,18,Letting Prisoners Escape,0
20171,2017-Q1,1,Aguascalientes,707,Falsehood,20,Falsehood,16
20171,2017-Q1,1,Aguascalientes,708,Falsification,21,Falsification,100
20171,2017-Q1,1,Aguascalientes,709,Narcomenudeo,26,Narcomenudeo,187
20171,2017-Q1,1,Aguascalientes,710,Other Crimes of the Common Law,32,Other Crimes of the Common Law,390
20171,2017-Q1,2,Baja California,101,Trust Abuse,2,Trust Abuse,135
20171,2017-Q1,2,Baja California,102,Damage to Property,13,Damage to Property,1661
20171,2017-Q1,2,Baja California,103,Dispossession,15,Dispossession,236
20171,2017-Q1,2,Baja California,104,Extortion,19,Extortion,57
20171,2017-Q1,2,Baja California,105,Fraud,22,Fraud,276
20171,2017-Q1,2,Baja California,106,Stole,10,Violently,3154
20171,2017-Q1,2,Baja California,106,Stole,37,"Theft of Cables, Pipes and other Objects Intended for Public Services Violently",0
20171,2017-Q1,2,Baja California,106,Stole,38,"Theft of Cables, Pipes and other Objects Intended for Public Services without Violence",0
20171,2017-Q1,2,Baja California,106,Stole,39,Carjacking 4 Wheel Violence,439
20171,2017-Q1,2,Baja California,106,Stole,40,Carjacking 4 Wheel without Violence,5154
20171,2017-Q1,2,Baja California,106,Stole,41,Theft of Small and Large Vessels with Violence,0
20171,2017-Q1,2,Baja California,106,Stole,42,Theft of Small and Large Vessels without Violence,0
20171,2017-Q1,2,Baja California,106,Stole,43,Industrial Tool Theft or Agricultural Violently,0
20171,2017-Q1,2,Baja California,106,Stole,44,Industrial Tool Theft or Agricultural without Violence,0
20171,2017-Q1,2,Baja California,106,Stole,45,Motorcycle Theft Violence,8
20171,2017-Q1,2,Baja California,106,Stole,46,No Motorcycle Theft Violence,51
20171,2017-Q1,2,Baja California,106,Stole,47,Tractors Theft Violence,0
20171,2017-Q1,2,Baja California,106,Stole,48,Theft of Tractors without Violence,0
20171,2017-Q1,2,Baja California,106,Stole,53,Without Violence,5146
20171,2017-Q1,2,Baja California,107,Other Crimes against Property,29,Other Crimes against Property,115
20171,2017-Q1,2,Baja California,201,Failure to Comply with Obligations of Family Assistance,25,Failure to Comply with Obligations of Family Assistance,197
20171,2017-Q1,2,Baja California,202,Gender-Based Violence in all its Different Modalities to Family Violence,58,Gender-Based Violence in all its Different Modalities to Family Violence,0
20171,2017-Q1,2,Baja California,203,Domestic Violence,59,Domestic Violence,1757
20171,2017-Q1,2,Baja California,204,Other Offenses against the Family,30,Other Offenses against the Family,74
20171,2017-Q1,2,Baja California,301,Sexual Abuse,3,Sexual Abuse,257
20171,2017-Q1,2,Baja California,302,Sexual Harassment,4,Sexual Harassment,0
20171,2017-Q1,2,Baja California,303,Sexual Harassment,23,Sexual Harassment,25
20171,2017-Q1,2,Baja California,304,Incest,24,Incest,0
20171,2017-Q1,2,Baja California,305,Equated Violation,56,Statutory Rape,101
20171,2017-Q1,2,Baja California,306,Simple Violation,57,Simple Violation,140
